#At time x allcoated y bytes for process z from i to j
At time 6 allcoated 52 bytes for process 1 from 0 to 63 
At time 9 allcoated 152 bytes for process 2 from 256 to 511 
At time 11 freed 52 bytes for process 1 from 0 to 63 
At time 14 allcoated 232 bytes for process 3 from 0 to 255 
At time 17 allcoated 185 bytes for process 4 from 512 to 767 
At time 17 allcoated 101 bytes for process 5 from 768 to 895 
At time 20 allcoated 76 bytes for process 6 from 896 to 1023 
At time 33 freed 101 bytes for process 5 from 768 to 895 
At time 47 freed 76 bytes for process 6 from 896 to 1023 
At time 67 freed 232 bytes for process 3 from 0 to 255 
At time 89 freed 185 bytes for process 4 from 512 to 767 
At time 113 freed 152 bytes for process 2 from 256 to 511 
